Qobs,Precipitation,Peff,Qmean,Qinf_2_5,Qsup_97_5
0.244,0.2,0.0,2.0516733347491903e-06,1.1666990145392948e-07,9.297017117448151e-06
0.243,0.0,0.0,1.1160359866796032e-06,0.0,4.841552333859669e-06
0.243,0.0,0.0,6.142574941094574e-07,0.0,2.920689094163935e-06
0.243,0.0,0.0,3.582896534008002e-07,0.0,1.5319956502032057e-06
0.243,0.0,0.0,2.1145799819256556e-07,0.0,1.0446378171389591e-06
0.243,0.0,0.0,1.2402046858672262e-07,0.0,5.844592337656159e-07
0.243,1.1,0.0,7.938469807340881e-08,0.0,3.756231859845734e-07
0.229,0.7,0.0,4.495341419277716e-08,0.0,2.4185825591057545e-07
0.199,0.0,0.0,2.926221849261963e-08,0.0,1.4283913233442584e-07
0.199,0.2,0.0,1.68491603117891e-08,0.0,9.173231860652095e-08
0.199,0.0,0.0,1.1279806486572776e-08,0.0,7.113186624677144e-08
0.199,0.0,0.0,6.246876016860814e-09,0.0,3.413295989692024e-08
0.199,1.7,0.0,4.615833822658911e-09,0.0,2.2223918501730515e-08
0.199,2.0,0.08000000000000007,2.374911608734155e-09,0.0,1.2504132295961238e-08
0.199,1.5,0.0,0.008791596798812312,0.0077045267849335485,0.009523092923378598
0.209,13.2,11.35,0.006911277480852195,0.005792716644799667,0.008030025230859486
0.317,9.7,7.889999999999999,1.251560988973204,1.0986073515281636,1.354387643915973
0.311,0.2,0.0,2.239541380593014,1.9846278229634458,2.3754894770331942
0.264,13.2,11.459999999999999,2.139226978382833,1.901044646677326,2.372786934310775
0.525,1.2,0.0,2.9527273979372612,2.6417549513800695,3.130047991137821
0.525,6.2,4.53,2.6912295861239235,2.318744273961411,3.0417858521538483
0.415,1.5,0.0,2.5931667688143607,2.208115637842383,2.967032960600223
0.356,0.0,0.0,2.0675449909317942,1.636985524803743,2.4502513303113
0.321,0.0,0.0,1.4858175220190926,0.9763727923898484,1.9284599663329074
0.307,0.5,0.0,1.0069474229969295,0.7291637732403674,1.486164188473966
0.304,0.0,0.0,0.6418230824613889,0.43317087081970723,0.9520071005450069
0.301,3.1,1.6500000000000001,0.38453975353618014,0.22851275978819985,0.6393172154770563
0.297,0.0,0.0,0.40306733281873436,0.30712939325053734,0.5808731187049291
0.294,1.4,0.010000000000000009,0.3162142788278781,0.24556262284461106,0.4459896210566992
0.291,3.8,2.4399999999999995,0.21752501812856634,0.15293849253839134,0.33002733342833157
0.289,1.7,0.3599999999999999,0.40462824720861207,0.3648868964651675,0.4614965965033059
0.307,10.4,9.09,0.4079776165174822,0.35706682747547425,0.47785874219805025
0.359,1.4,0.07999999999999985,1.314791634953706,1.23778818028651,1.3654386337350095
0.379,4.0,2.71,1.3516665490872293,1.222756567934329,1.4979463675091278
0.984,9.6,8.34,1.3815603665084222,1.2170122802490126,1.5451836773965755
1.007,11.3,10.06,2.031418418629766,1.7992341736087958,2.1660548412911265
0.731,0.0,0.0,2.9624752633613536,2.572232041873577,3.162836301368086
0.552,1.4,0.21999999999999997,2.729094232336062,2.167958161819963,3.114289769411879
0.495,2.5,1.35,2.1727210979035685,1.749170804822743,2.6110331405739617
0.495,8.5,7.38,1.7132533165907144,1.2198783733193646,2.1355211651308417
0.479,0.0,0.0,2.0258599291209562,1.6376032082390712,2.3595230364700184
0.562,14.1,13.049999999999999,1.7509450106218887,1.4559764134016948,2.1081263161296113
1.273,5.8,4.83,2.744089215667299,2.5486905881999653,2.952759460061461
0.731,0.0,0.0,3.0961370533572197,2.729479420855626,3.4122472155641614
0.528,0.0,0.0,2.65472751168687,2.272053250007063,3.089644473661446
0.462,0.0,0.0,2.0118418832794087,1.6802271071178028,2.456319268349938
0.439,0.0,0.0,1.404525593641749,1.1034646962813737,1.8328945599659816
0.419,0.0,0.0,0.9198543207056863,0.6454005227551924,1.2936863950850226
0.399,2.1,1.3,0.5704080113583148,0.36152178110846606,0.9024700111724997
0.399,1.7,0.9199999999999999,0.4781701372760796,0.34296771688455935,0.7264074176944657
0.435,14.8,14.040000000000001,0.44479878106268483,0.3482767506429819,0.6385975066293716
1.462,1.0,0.26,1.8771645992914163,1.7740340581707101,1.941044242999536
0.817,12.7,11.969999999999999,2.0081889161415107,1.7674991971956466,2.210760697669059
1.595,9.5,8.76,2.98078140030922,2.770756117939203,3.1329404975201434
1.811,1.0,0.27,3.726447651928558,3.36058021344869,3.9818153865601666
1.12,14.1,13.39,3.3176866932882008,2.8098343904324046,3.7562293458793508
1.711,6.2,5.5,4.051823231776495,3.23659948966921,4.453174430295277
1.927,6.0,5.3100000000000005,4.178337055745272,3.4093764571090492,4.683063081168519
1.711,0.2,0.0,4.067245720104849,3.451965461553138,4.629186418712191
1.17,1.0,0.32999999999999996,3.30307364605669,2.749783914938749,3.863868398156503
0.95,3.4,2.73,2.4608715203960503,1.9423121910022154,3.131472926878279
0.974,1.9,1.2399999999999998,1.9968228431482176,1.4739514142235293,2.57011413994842
0.93,0.7,0.04999999999999993,1.6027272893640931,1.2758165692230157,2.0840046743368323
