mu,lambda,sigma,nse_best
0.9492370990135425,2.225747109321401,0.010395704028069287,0.2734217474190247
0.9490048077862866,2.2182746921314367,0.007699555101300515,0.2764841399851825
0.9498764000125681,2.387820841705975,0.06605425744663564,0.2719715854255075
0.949875151778115,2.2470316045942162,0.006886648739697044,0.27758199155111796
0.9477861580360065,2.0949256059064174,0.011483886132388134,0.2745920125419703
0.9497583155398805,2.2547528745927017,0.0005646511628127238,0.27243799049674533
0.9488165692234458,2.282211568673368,0.015318230663148392,0.27931321338094284
0.9483365673816968,2.3292877850889715,0.014579720315676293,0.29769536527892104
0.9423112772630453,2.075310095615094,0.002525882743480512,0.25557275748195596
0.948746465620367,2.260992327574343,0.009053357212572943,0.2708895174059327
0.9478525548793388,2.25939338376238,0.0016861028828187297,0.27334639437915
0.9494389121273029,2.0627147386297784,0.012272446620499856,0.27602519851487395
0.9486844957878219,2.066530774937403,0.017571905752183682,0.2746181238544255
0.9494439585120641,2.163173548914992,0.0021150711553961643,0.27629160107475814
0.948995703075239,2.0417221400752847,0.005031209986561747,0.2661656237801283
0.9462567766101049,2.525743858237333,0.011257057568351915,0.3580198185123762
0.9440597329090618,2.0485878821649917,0.00022499191100867623,0.2672046084043064
0.9459245186636337,2.160659101373971,0.004589993197954778,0.2721700938024467
0.946376294966493,2.1930618908406756,0.004221775972545305,0.2702609842344348
0.9471171321061727,2.294567685394832,0.00985383034278632,0.26305422433509806
0.9489721751494175,2.3509020609073508,0.003809606063010229,0.26518123528591997
0.9488448230687465,2.1970305415007534,0.02110078787551364,0.2867908042324394
0.949756507433559,2.244459825744601,0.007923600350907644,0.2782602080165626
0.9486312463952331,2.2668815766186476,0.010262968241228977,0.2778577418275514
0.9493289389213839,2.24101197266322,0.006990052675961245,0.2729320992010845
0.9484213536323924,2.170601490017124,0.005006145559191089,0.27458797055048356
0.9493248039879354,2.218634263917386,0.0050328914046446575,0.27633284518538737
0.9473783378474014,2.1803465909498607,0.005399171422606042,0.25831822225668544
0.9462757200149896,2.325074057798237,0.033935059894534346,0.2832520275640863
0.9468457394285866,2.159120340953269,0.010190603883134187,0.2716783764612559
0.9484074853579908,2.1403449205764584,0.0009291333109961997,0.2748378216963172
0.9495639824343056,2.3252283747496563,0.0003231275208939177,0.27350896163435057
0.9421822492304388,2.1428937489830076,0.0011365342241978493,0.2652202318318022
0.9499717395418276,2.132040141501445,0.011506992619846092,0.28568187144744994
0.9487733948846454,2.2010483080341556,0.0016227097062953334,0.2756833926146832
0.9491850028132083,2.106084758794802,0.006082596771825444,0.2735431861612415
0.9495622646983595,2.1810029458768723,0.021427043948825577,0.27920759606735135
0.9499414469801748,2.3361425860348723,0.0013179619679431044,0.27273789485914934
0.9497457342074539,2.1927457714597387,0.011833531298071454,0.27409060187629597
0.9409731737749409,2.1843902513221285,0.0031208751379690814,0.25819067138698004
0.9497057928613848,2.047703893079501,0.0011718607639708445,0.27237688897165746
0.9483853485515465,2.310253918552158,0.02372436217933295,0.29476072617607385
0.9472907354487985,2.1514740958919623,0.0007183594943391824,0.2737824193548557
0.9471998446127795,2.1503678001222544,0.0030884577184106202,0.2732433399460573
0.9485327244321897,2.2243889689796323,0.0016762432024849394,0.2735389204812053
0.9495034481014861,2.3812623841166256,0.04107292421107252,0.28546329033039775
0.9482695294685848,2.2558678287429696,0.00013127609397602935,0.27387211838540504
0.9485315428977741,2.105409477281373,0.0022451366994896806,0.2738269806235506
0.9488874127031158,2.2575661818713484,0.0005761542338415638,0.27477956664043424
0.9490606113265602,2.239410498652896,0.010125077567573549,0.27485886887752375
0.9497773114977818,2.213923272140706,0.0018285925446738128,0.27662926434546264
0.9468695257055495,2.325086784008335,0.003676503433677858,0.26997286700478074
0.9495550205543025,2.3334795668740456,0.004295192683876237,0.2649442441482839
0.949300331865899,2.1357738060650124,0.008153215580649853,0.2746184277423389
0.9499597433146727,2.1694492321345438,0.032882267336760675,0.28659736154474924
0.9495407226189168,2.170150605655128,0.00452681540004739,0.276947640432617
0.9491768930375402,2.095245637069093,0.003637008603461456,0.27332500184969777
0.9479919789309891,2.239486809092277,0.010461115779301079,0.27797918134012833
0.9492126094386311,2.2205945760763752,0.005323832718062971,0.2803803851312584
0.9498992133724589,2.37863714989574,0.04798235678388951,0.29679451040429294
0.9478847908265327,2.2709304703763897,0.0010103487230309406,0.2721290265916533
0.9489034251848603,2.2645445259105195,0.001815760900972796,0.274626236955978
0.9495078382864965,2.205715558777697,0.0038327577952971927,0.2718112714533433
0.9429974746139591,2.051164072884031,0.0004869424625705055,0.26533231879112884
0.9486505977879951,2.1065261801350514,0.0034470609633865945,0.273789164536584
0.9499557343129474,2.1761656910835954,0.0018188877203667575,0.27282316749363744
0.9497840010243801,2.1968953670080125,0.0017324203205858592,0.27626832329126527
0.949334818574828,2.165300591005654,0.008113125204998451,0.2794300786095132
0.9488855797877107,2.3583950737532042,0.007731075473539429,0.2698442512319764
