date,flow_obs,flow_sim,precipitation_mean,tmin_mean,tmax_mean
1981-09-27,,0.095,1.125,-4.264,12.991
1981-09-28,,0.098,0.483,-3.409,12.159
1981-09-29,,0.103,1.134,-4.18,11.775
1981-09-30,,0.107,2.026,-2.011,12.096
1981-10-01,,0.09,0.239,-2.027,12.847
1981-10-02,,0.089,0.047,-3.185,14.185
1981-10-03,,0.086,0.051,-4.508,15.428
1981-10-04,,0.082,0.045,-3.327,15.769
1981-10-05,,0.078,0.301,-0.292,15.26
1981-10-06,,0.074,0.335,-1.894,15.336
1981-10-07,,0.07,0.735,-0.862,14.953
1981-10-08,,0.069,3.612,0.434,11.517
1981-10-09,,0.068,3.411,0.215,12.998
1981-10-10,,0.069,1.556,-1.689,16.134
1981-10-11,,0.071,0.931,-0.821,15.909
1981-10-12,,0.074,0.054,-2.94,17.509
1981-10-13,,0.076,0.665,-2.051,17.465
1981-10-14,,0.076,0.36,-0.122,16.144
1981-10-15,,0.075,0.168,-2.689,16.602
1981-10-16,,0.072,2.928,2.201,14.925
1981-10-17,,0.07,5.122,0.838,12.966
1981-10-18,,0.07,6.767,0.581,14.871
1981-10-19,,0.072,1.567,-0.86,15.933
1981-10-20,,0.075,4.252,0.374,12.722
1981-10-21,,0.076,5.764,-1.325,12.437
1981-10-22,,0.078,6.301,-0.997,12.946
1981-10-23,,0.082,3.678,-0.974,13.822
1981-10-24,,0.089,4.074,0.831,12.964
1981-10-25,,0.1,8.943,1.093,11.831
1981-10-26,,0.114,7.313,-0.569,13.07
1981-10-27,,0.134,4.886,-0.165,14.685
1981-10-28,,0.153,1.923,-0.662,15.366
1981-10-29,,0.171,4.439,1.193,15.212
1981-10-30,,0.172,3.615,1.147,15.192
1981-10-31,,0.154,2.773,1.063,15.084
1981-11-01,,0.148,0.764,1.675,16.416
1981-11-02,,0.124,0.537,-1.668,15.749
1981-11-03,,0.102,0.347,-0.392,16.151
1981-11-04,,0.087,2.257,0.474,15.979
1981-11-05,,0.078,0.995,1.124,16.617
1981-11-06,,0.071,2.171,2.449,15.913
1981-11-07,,0.068,2.255,2.847,15.109
1981-11-08,,0.065,1.125,0.614,16.827
1981-11-09,,0.062,0.441,-0.402,16.688
1981-11-10,,0.06,1.192,0.411,15.746
1981-11-11,,0.059,0.815,1.084,14.298
1981-11-12,,0.059,2.333,-0.303,15.865
1981-11-13,,0.059,3.355,1.291,15.231
1981-11-14,,0.065,5.769,2.121,14.842
1981-11-15,,0.074,4.408,1.842,13.819
1981-11-16,,0.083,3.814,0.942,14.292
1981-11-17,,0.095,0.531,1.768,16.018
1981-11-18,,0.105,1.19,-0.249,16.778
1981-11-19,,0.108,7.389,-0.674,14.533
1981-11-20,,0.104,1.767,0.768,14.915
1981-11-21,,0.099,2.432,-0.341,15.654
1981-11-22,,0.096,1.617,0.328,15.712
1981-11-23,,0.091,3.482,-0.078,16.206
1981-11-24,,0.089,10.325,2.459,15.981
1981-11-25,,0.088,2.67,0.503,15.667
1981-11-26,,0.095,2.786,1.977,14.946
1981-11-27,,0.112,3.619,2.39,14.617
1981-11-28,,0.143,7.318,2.095,14.234
1981-11-29,,0.188,6.721,1.97,13.126
1981-11-30,,0.271,1.062,0.64,13.995
1981-12-01,,0.421,2.304,0.172,15.321
1981-12-02,,0.509,8.327,2.259,13.497
1981-12-03,,0.518,5.964,2.21,13.287
1981-12-04,,0.5,5.984,2.13,14.427
1981-12-05,,0.48,0.398,-0.911,16.768
1981-12-06,,0.467,1.968,0.748,16.151
1981-12-07,,0.433,2.203,3.166,16.084
1981-12-08,,0.372,1.762,1.825,15.103
1981-12-09,,0.309,0.979,1.438,16.288
1981-12-10,,0.248,0.403,1.885,16.164
1981-12-11,,0.199,0.668,1.7,16.394
1981-12-12,,0.179,0.92,2.557,15.611
1981-12-13,,0.153,2.306,1.343,15.418
1981-12-14,,0.136,3.392,1.561,15.977
1981-12-15,,0.121,2.22,0.163,15.049
1981-12-16,,0.115,8.867,2.349,13.312
1981-12-17,,0.118,4.129,1.743,14.541
1981-12-18,,0.124,4.038,0.371,11.085
1981-12-19,,0.134,11.278,2.428,13.788
1981-12-20,,0.147,0.684,0.227,12.513
1981-12-21,,0.184,2.074,1.266,15.103
1981-12-22,,0.271,1.614,0.839,13.346
1981-12-23,,0.347,5.053,1.728,12.786
1981-12-24,,0.378,5.39,1.673,10.907
1981-12-25,,0.372,3.826,1.425,12.53
1981-12-26,,0.363,4.694,2.303,12.408
1981-12-27,,0.389,2.607,2.369,14.014
1981-12-28,,0.46,5.829,2.307,14.873
1981-12-29,,0.541,2.962,2.162,13.292
1981-12-30,,0.618,5.006,2.391,13.588
1981-12-31,,0.723,10.623,2.538,11.275
1982-01-01,,0.877,4.52,3.009,12.63
1982-01-02,,0.981,4.631,2.757,11.7
1982-01-03,,1.097,9.982,2.992,11.501
1982-01-04,,1.206,7.296,2.257,11.079
1982-01-05,,1.283,4.428,1.573,12.219
1982-01-06,,1.357,3.73,1.674,12.58
1982-01-07,,1.363,5.491,1.174,12.898
1982-01-08,,1.271,6.316,0.789,13.693
1982-01-09,,1.158,3.967,0.557,13.828
1982-01-10,,1.03,5.36,2.987,13.81
1982-01-11,,0.919,2.82,2.864,12.708
1982-01-12,,0.83,5.257,2.994,13.045
1982-01-13,,0.78,4.08,2.992,13.239
